村里,緯度,經度
荖藤里,23.5098727,120.4429644
後湖里,23.5073954,120.4544857
仁義里,23.4921434,120.4537656
中庄里,23.4941022,120.4508854
頂庄里,23.4981185,120.4602459
圳頭里,23.4905882,120.4796849
新店里,23.4942005,120.4660059
後庄里,23.4981103,120.478965
王田里,23.4855435,120.4688858
東川里,23.4796701,120.4681659
太平里,23.4900805,120.4602459
盧厝里,23.4836765,120.4962417
鹿寮里,23.4634855,120.4904831
長竹里,23.4810065,120.4775252
短竹里,23.4719419,120.4667259
新開里,23.4734891,120.4595259
宣信里,23.471686,120.4570058
興南里,23.4703981,120.4552057
豐年里,23.4712743,120.4526856
芳草里,23.4672021,120.463846
芳安里,23.4648322,120.462406
頂寮里,23.4670999,120.4580859
安寮里,23.4630807,120.4580859
興安里,23.4577219,120.4487252
興村里,23.4506108,120.4537656
興仁里,23.4581337,120.462406
過溝里,23.475036,120.4523255
民族里,23.475757,120.4552057
朝陽里,23.4759109,120.4591659
華南里,23.4788479,120.4595259
東興里,23.4809094,120.4577259
中山里,23.4838971,120.460966
中央里,23.4793647,120.4508854
林森里,23.4864749,120.4552057
北門里,23.4865788,120.4516055
蘭潭里,23.4672002,120.4732056
文雅里,23.4826518,120.485444
安業里,23.4618443,120.4544857
義教里,23.4975023,120.4537656